date,symbol,open,high,low,close,rsi
2015-01-05,300119,9.57,9.62,9.31,9.57,35.3459
2015-01-06,300119,9.57,9.99,9.47,9.91,43.0103
2015-01-07,300119,9.81,9.95,9.72,9.9,42.8495
2015-01-08,300119,9.82,10.03,9.79,9.93,43.5319
2015-01-09,300119,9.9,10.05,9.8,9.81,41.4022
2015-01-12,300119,9.72,9.76,9.35,9.42,35.3493
2015-01-13,300119,9.42,9.66,9.42,9.65,40.8422
2015-01-14,300119,9.65,9.86,9.54,9.75,43.1055
2015-01-15,300119,9.68,9.89,9.68,9.79,44.028
2015-01-16,300119,9.85,9.9,9.76,9.87,45.9167
2015-01-19,300119,9.78,10.24,9.64,9.93,47.3516
2015-01-20,300119,9.98,10.32,9.93,10.32,55.598
2015-01-21,300119,10.43,10.43,10.21,10.34,55.9787
2015-01-22,300119,10.34,10.42,10.28,10.37,56.5803
2015-01-23,300119,10.37,10.43,10.22,10.26,53.6837
2015-01-26,300119,10.27,10.35,10.23,10.34,55.4692
2015-01-27,300119,10.34,10.34,10.11,10.28,53.7942
2015-01-28,300119,10.26,10.46,10.23,10.36,55.7144
2015-01-29,300119,10.35,10.35,10.08,10.18,50.6174
2015-01-30,300119,10.18,10.24,10.01,10.07,47.7429
2015-02-02,300119,9.88,9.9,9.72,9.8,41.5115
2015-02-03,300119,9.88,10.09,9.8,10.02,47.5219
2015-02-04,300119,10.06,10.07,9.86,9.87,44.1877
2015-02-05,300119,9.88,10.02,9.82,9.85,43.747
2015-02-06,300119,9.89,9.95,9.65,9.66,39.6964
2015-02-09,300119,9.66,9.73,9.5,9.54,37.3445
2015-02-10,300119,9.6,9.64,9.49,9.64,40.5077
2015-02-11,300119,9.64,9.76,9.61,9.71,42.6889
2015-02-12,300119,9.79,9.93,9.71,9.89,47.9712
2015-02-13,300119,9.91,10.13,9.91,10.03,51.7001
2015-02-16,300119,10.09,10.28,10.07,10.22,56.2797
2015-02-17,300119,10.25,10.38,10.16,10.35,59.1347
2015-02-25,300119,10.38,10.45,10.24,10.32,58.1903
