stock_code,trade_date,indicator_name,indicator_value
600000,2021-01-04,30_day_volatility,0.1918
600000,2021-01-05,30_day_volatility,0.1925
600000,2021-01-06,30_day_volatility,0.1925
600000,2021-01-07,30_day_volatility,0.1925
600000,2021-01-08,30_day_volatility,0.1909
600000,2021-01-11,30_day_volatility,0.1821
600000,2021-01-12,30_day_volatility,0.1774
600000,2021-01-13,30_day_volatility,0.1594
600000,2021-01-14,30_day_volatility,0.1426
600000,2021-01-15,30_day_volatility,0.125
600000,2021-01-18,30_day_volatility,0.118
600000,2021-01-19,30_day_volatility,0.1285
600000,2021-01-20,30_day_volatility,0.1285
600000,2021-01-21,30_day_volatility,0.1304
600000,2021-01-22,30_day_volatility,0.1302
600000,2021-01-25,30_day_volatility,0.13
600000,2021-01-26,30_day_volatility,0.1304
600000,2021-01-27,30_day_volatility,0.1303
600000,2021-01-28,30_day_volatility,0.1301
600000,2021-01-29,30_day_volatility,0.1339
600000,2021-02-01,30_day_volatility,0.1683
600000,2021-02-02,30_day_volatility,0.1805
600000,2021-02-03,30_day_volatility,0.1907
600000,2021-02-04,30_day_volatility,0.1981
600000,2021-02-05,30_day_volatility,0.2314
600000,2021-02-08,30_day_volatility,0.2577
600000,2021-02-09,30_day_volatility,0.2754
600000,2021-02-10,30_day_volatility,0.2882
600000,2021-02-18,30_day_volatility,0.303
600000,2021-02-19,30_day_volatility,0.3279
600000,2021-02-22,30_day_volatility,0.3348
600000,2021-02-23,30_day_volatility,0.3419
600000,2021-02-24,30_day_volatility,0.3442
600000,2021-02-25,30_day_volatility,0.3513
600000,2021-02-26,30_day_volatility,0.3496
600000,2021-03-01,30_day_volatility,0.343
600000,2021-03-02,30_day_volatility,0.3359
600000,2021-03-03,30_day_volatility,0.3416
600000,2021-03-04,30_day_volatility,0.3436
600000,2021-03-05,30_day_volatility,0.3446
600000,2021-03-08,30_day_volatility,0.3452
600000,2021-03-09,30_day_volatility,0.346
600000,2021-03-10,30_day_volatility,0.3413
600000,2021-03-11,30_day_volatility,0.3389
600000,2021-03-12,30_day_volatility,0.3269
600000,2021-03-15,30_day_volatility,0.3142
600000,2021-03-16,30_day_volatility,0.293
600000,2021-03-17,30_day_volatility,0.2626
600000,2021-03-18,30_day_volatility,0.2187
600000,2021-03-19,30_day_volatility,0.1873
600000,2021-03-22,30_day_volatility,0.1823
600000,2021-03-23,30_day_volatility,0.1645
600000,2021-03-24,30_day_volatility,0.1465
600000,2021-03-25,30_day_volatility,0.1284
600000,2021-03-26,30_day_volatility,0.1304
600000,2021-03-29,30_day_volatility,0.1373
600000,2021-03-30,30_day_volatility,0.1411
600000,2021-03-31,30_day_volatility,0.1436
600000,2021-04-01,30_day_volatility,0.1443
600000,2021-04-02,30_day_volatility,0.1416
600000,2021-04-06,30_day_volatility,0.1416
600000,2021-04-07,30_day_volatility,0.1429
600000,2021-04-08,30_day_volatility,0.1417
600000,2021-04-09,30_day_volatility,0.1444
600000,2021-04-12,30_day_volatility,0.1402
600000,2021-04-13,30_day_volatility,0.1368
600000,2021-04-14,30_day_volatility,0.1314
600000,2021-04-15,30_day_volatility,0.1401
600000,2021-04-16,30_day_volatility,0.1433
600000,2021-04-19,30_day_volatility,0.145
600000,2021-04-20,30_day_volatility,0.1501
600000,2021-04-21,30_day_volatility,0.1522
600000,2021-04-22,30_day_volatility,0.1589
600000,2021-04-23,30_day_volatility,0.1628
600000,2021-04-26,30_day_volatility,0.1716
600000,2021-04-27,30_day_volatility,0.17
600000,2021-04-28,30_day_volatility,0.1671
600000,2021-04-29,30_day_volatility,0.1618
600000,2021-04-30,30_day_volatility,0.1716
600000,2021-05-06,30_day_volatility,0.1863
600000,2021-05-07,30_day_volatility,0.2012
600000,2021-05-10,30_day_volatility,0.2167
600000,2021-05-11,30_day_volatility,0.2263
600000,2021-05-12,30_day_volatility,0.2323
600000,2021-05-13,30_day_volatility,0.2387
600000,2021-05-14,30_day_volatility,0.2423
600000,2021-05-17,30_day_volatility,0.2296
600000,2021-05-18,30_day_volatility,0.2151
600000,2021-05-19,30_day_volatility,0.2059
600000,2021-05-20,30_day_volatility,0.1996
600000,2021-05-21,30_day_volatility,0.1965
600000,2021-05-24,30_day_volatility,0.1939
600000,2021-05-25,30_day_volatility,0.1871
600000,2021-05-26,30_day_volatility,0.1822
600000,2021-05-27,30_day_volatility,0.1701
600000,2021-05-28,30_day_volatility,0.154
600000,2021-05-31,30_day_volatility,0.146
600000,2021-06-01,30_day_volatility,0.1441
600000,2021-06-02,30_day_volatility,0.1372
600000,2021-06-03,30_day_volatility,0.1272
600000,2021-06-04,30_day_volatility,0.1207
600000,2021-06-07,30_day_volatility,0.1076
600000,2021-06-08,30_day_volatility,0.1033
600000,2021-06-09,30_day_volatility,0.0974
600000,2021-06-10,30_day_volatility,0.0963
600000,2021-06-11,30_day_volatility,0.0957
600000,2021-06-15,30_day_volatility,0.0985
600000,2021-06-16,30_day_volatility,0.084
600000,2021-06-17,30_day_volatility,0.0844
600000,2021-06-18,30_day_volatility,0.0844
600000,2021-06-21,30_day_volatility,0.0839
600000,2021-06-22,30_day_volatility,0.0813
600000,2021-06-23,30_day_volatility,0.0838
600000,2021-06-24,30_day_volatility,0.0868
600000,2021-06-25,30_day_volatility,0.087
600000,2021-06-28,30_day_volatility,0.0898
600000,2021-06-29,30_day_volatility,0.0935
600000,2021-06-30,30_day_volatility,0.0954
600000,2021-07-01,30_day_volatility,0.097
600000,2021-07-02,30_day_volatility,0.102
600000,2021-07-05,30_day_volatility,0.1069
600000,2021-07-06,30_day_volatility,0.1087
600000,2021-07-07,30_day_volatility,0.1053
600000,2021-07-08,30_day_volatility,0.1022
600000,2021-07-09,30_day_volatility,0.1024
600000,2021-07-12,30_day_volatility,0.098
600000,2021-07-13,30_day_volatility,0.0944
600000,2021-07-14,30_day_volatility,0.0987
600000,2021-07-15,30_day_volatility,0.0964
600000,2021-07-16,30_day_volatility,0.0927
600000,2021-07-19,30_day_volatility,0.0881
600000,2021-07-20,30_day_volatility,0.083
600000,2021-07-21,30_day_volatility,0.0982
600000,2021-07-22,30_day_volatility,0.0995
600000,2021-07-23,30_day_volatility,0.0966
600000,2021-07-26,30_day_volatility,0.0932
600000,2021-07-27,30_day_volatility,0.1016
600000,2021-07-28,30_day_volatility,0.1053
600000,2021-07-29,30_day_volatility,0.1126
600000,2021-07-30,30_day_volatility,0.1229
600000,2021-08-02,30_day_volatility,0.1268
600000,2021-08-03,30_day_volatility,0.1312
600000,2021-08-04,30_day_volatility,0.1375
600000,2021-08-05,30_day_volatility,0.143
600000,2021-08-06,30_day_volatility,0.1448
600000,2021-08-09,30_day_volatility,0.1446
600000,2021-08-10,30_day_volatility,0.1442
600000,2021-08-11,30_day_volatility,0.143
600000,2021-08-12,30_day_volatility,0.1413
600000,2021-08-13,30_day_volatility,0.1413
600000,2021-08-16,30_day_volatility,0.1409
600000,2021-08-17,30_day_volatility,0.1391
600000,2021-08-18,30_day_volatility,0.1361
600000,2021-08-19,30_day_volatility,0.1348
600000,2021-08-20,30_day_volatility,0.1341
600000,2021-08-23,30_day_volatility,0.1335
600000,2021-08-24,30_day_volatility,0.1312
600000,2021-08-25,30_day_volatility,0.1313
600000,2021-08-26,30_day_volatility,0.1302
600000,2021-08-27,30_day_volatility,0.1271
600000,2021-08-30,30_day_volatility,0.1279
600000,2021-08-31,30_day_volatility,0.1249
600000,2021-09-01,30_day_volatility,0.121
600000,2021-09-02,30_day_volatility,0.0964
600000,2021-09-03,30_day_volatility,0.0725
600000,2021-09-06,30_day_volatility,0.067
600000,2021-09-07,30_day_volatility,0.0727
600000,2021-09-08,30_day_volatility,0.0775
600000,2021-09-09,30_day_volatility,0.0793
600000,2021-09-10,30_day_volatility,0.0836
600000,2021-09-13,30_day_volatility,0.0885
600000,2021-09-14,30_day_volatility,0.0876
600000,2021-09-15,30_day_volatility,0.0846
600000,2021-09-16,30_day_volatility,0.082
600000,2021-09-17,30_day_volatility,0.0807
600000,2021-09-22,30_day_volatility,0.0855
600000,2021-09-23,30_day_volatility,0.0899
600000,2021-09-24,30_day_volatility,0.0944
600000,2021-09-27,30_day_volatility,0.0983
600000,2021-09-28,30_day_volatility,0.1015
600000,2021-09-29,30_day_volatility,0.1047
600000,2021-09-30,30_day_volatility,0.1086
600000,2021-10-08,30_day_volatility,0.1063
600000,2021-10-11,30_day_volatility,0.1059
600000,2021-10-12,30_day_volatility,0.1043
600000,2021-10-13,30_day_volatility,0.105
600000,2021-10-14,30_day_volatility,0.106
600000,2021-10-15,30_day_volatility,0.1065
600000,2021-10-18,30_day_volatility,0.1082
600000,2021-10-19,30_day_volatility,0.11
600000,2021-10-20,30_day_volatility,0.1081
600000,2021-10-21,30_day_volatility,0.1083
600000,2021-10-22,30_day_volatility,0.1085
600000,2021-10-25,30_day_volatility,0.1085
600000,2021-10-26,30_day_volatility,0.1078
600000,2021-10-27,30_day_volatility,0.1088
600000,2021-10-28,30_day_volatility,0.1043
600000,2021-10-29,30_day_volatility,0.0991
600000,2021-11-01,30_day_volatility,0.1086
600000,2021-11-02,30_day_volatility,0.1224
600000,2021-11-03,30_day_volatility,0.1327
600000,2021-11-04,30_day_volatility,0.1502
600000,2021-11-05,30_day_volatility,0.1621
600000,2021-11-08,30_day_volatility,0.1763
600000,2021-11-09,30_day_volatility,0.1846
600000,2021-11-10,30_day_volatility,0.1965
600000,2021-11-11,30_day_volatility,0.2001
600000,2021-11-12,30_day_volatility,0.2024
600000,2021-11-15,30_day_volatility,0.202
600000,2021-11-16,30_day_volatility,0.2013
600000,2021-11-17,30_day_volatility,0.2022
600000,2021-11-18,30_day_volatility,0.2057
600000,2021-11-19,30_day_volatility,0.2036
600000,2021-11-22,30_day_volatility,0.199
600000,2021-11-23,30_day_volatility,0.1929
600000,2021-11-24,30_day_volatility,0.1878
600000,2021-11-25,30_day_volatility,0.1835
600000,2021-11-26,30_day_volatility,0.1789
600000,2021-11-29,30_day_volatility,0.1743
600000,2021-11-30,30_day_volatility,0.1711
600000,2021-12-01,30_day_volatility,0.1649
600000,2021-12-02,30_day_volatility,0.1555
600000,2021-12-03,30_day_volatility,0.1425
600000,2021-12-06,30_day_volatility,0.1293
600000,2021-12-07,30_day_volatility,0.1134
600000,2021-12-08,30_day_volatility,0.0983
600000,2021-12-09,30_day_volatility,0.0845
600000,2021-12-10,30_day_volatility,0.0709
600000,2021-12-13,30_day_volatility,0.0691
